name,price,description
T-shirt Form Six,15000.00,
Transport,10000.00,
A3 D CUT,600.00,
Delivery Stickers,35000.00,
3d Signage 2x2M,250000.00,
A5 d cut,400.00,
A3 loophand,700.00,
A4 loophand,600.00,
A4 D cut,400.00,
Table talker,70000.00,
Mifuko debt,30000.00,
Customized Diary,15000.00,
Key holder 1 pcs,10000.00,
Keyholder 1,10000.00,
Key holder 10pcs,7000.00,
Key holder 100 pcs,5000.00,
A4 plain,150.00,
A3 d cut,280.00,
A4 d cut plain,160.00,
Ground floor frosted sticker,270000.00,
Back light near to lift,270000.00,
Pen,2000.00,
A2 loophand,1000.00,
A6 d cut,350.00,
Cap,10000.00,
A5 gift bags,3000.00,
Open&close,20000.00,
A2 d cut,800.00,
Warranty card,350.00,
Key holder,10000.00,
Roll up banner,150000.00,
Notebook,15000.00,
A4 paper bags,1000.00,
A5 paper bags,700.00,
Diary,15000.00,
A4 gift bags,4000.00,
A3 gift bags,6000.00,
Business card,350.00,
Thank you card,400.00,
A3 paper bags,1500.00,
Flyers,300.00,
Banner 400x100cm,300000.00,
A5 d cut plain,120.00,
Brochures,1000.00,
Push and pull sign,30000.00,
Teardrop,200000.00,
Banner,30000.00,
Chupa,15000.00,
Kikombe,8000.00,
Sticker printing,160000.00,
Addition color,200.00,
Overall,50000.00,
Water bottle,13000.00,
Backdrop banner,600000.00,
Indoor signage,250000.00,
A frame,150000.00,
Cloth tags,350.00,
Reflector,17000.00,
Door sign,25000.00,
T-shirt,20000.00,
Table calendar,10000.00,
Wheel cover,30000.00,
Mwamvuli,22000.00,
3D signage,1100000.00,
Whistband,1000.00,
Services card,300.00,
A6 gift bags,3000.00,
Promotion table,250000.00,
Flag,180000.00,
Design,30000.00,
2D signage,100000.00,
Magic mug,15000.00,
Digital card,35000.00,
Vacuum,300000.00,
A6 paper bags,700.00,
Gazebo,2000000.00,
Aluminum bottle,15000.00,
Company profile,20000.00,
ID Card,15000.00,
Viny sticker gloss 140 g,450000.00,
Badge,2000.00,
Bag tags,400.00,
Digitalization,20000.00,
Shirt,28000.00,
Corporate notebook,30000.00,
Alcobond and letter installation,5000000.00,
Travel mug,20000.00,
Telescopic flag,200000.00,
Discount voucher,400.00,
Receipt book,10000.00,
Sticker branding,80000.00,
Direction sign,25000.00,
Poster sticker,1200.00,
Mug,25000.00,
Booth bexagon gazebo,2000000.00,
Booth hexagon gazebo (3x3 meter ),2000000.00,
Logo design,50000.00,
Cup,8000.00,
Tumblers,25000.00,
Form board,120000.00,
Bags,4000.00,
Vacuum flask,35000.00,
Thermal wodden flask,35000.00,
Coffee mug,25000.00,
Wall calendars,25000.00,
Desk calendar,6000.00,
Label sticker,300.00,
Hand flag,2000.00,
Thermal mug,20000.00,
Sheet banner,200000.00,
Pressure banner,262000.00,
Press banner,262500.00,
Calendar,12000.00,
Gift voucher,400.00,
Mouse pad,20000.00,
Gift bags,5000.00,
Trophy,20000.00,
Jersey,46000.00,
Jute bags,14000.00,
File folder,25000.00,
Executive pen,2000.00,
Flex banner,60000.00,
Car branding,500000.00,
Gift set,70000.00,
Sticker,30000.00,
Name tag,10000.00,
Long sleeve shirts,35000.00,
Short sleeve shirt,25000.00,
Jackets,50000.00,
Vest,25000.00,
Umbrella,22000.00,
Tote bags,15000.00,
Card,350.00,
